id,model_name,url,type,params_billion,typical_use,est_vram_4bit_gb,approx_vram_gb,vram_tier,kv_cache_support,sharding,quant_formats,determinism_tip,good_to_know,notes,context_window_tokens,max_output_tokens,tokens_per_second_note,input_modalities,image_formats_example,prompt_template,tokenizer,framework_support,quantization_available,recommended_batch_size_4bit,latency_note,throughput_note,io_note,compat_note,good_to_know_2
23,starcoder2-3b,https://huggingface.co/bigcode/starcoder2-3b,Code LLM,3.0,Coding,3–4,3.0,2–<4 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Small StarCoder2.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Code-style prompts; tool/codemodel format,Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
24,Codestral-22B-v0.1,https://huggingface.co/mistralai/Codestral-22B-v0.1,Code LLM,22.0,Coding / reasoning,14–16,14.0,12–<16 GB,Yes (Transformer decoder; vLLM/HF),Optional (model parallel if needed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Strong 22B code LLM.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Code-style prompts; tool/codemodel format,Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
25,glm-4-9b-chat-hf,https://huggingface.co/zai-org/glm-4-9b-chat-hf,LLM,9.0,Chat,6–8,6.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,GLM-4 9B chat.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Generic (refer model card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
26,codegeex4-all-9b,https://huggingface.co/THUDM/codegeex4-all-9b,Code LLM,9.0,Coding,6–8,6.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,New CodeGeeX4 9B.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Generic (refer model card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
27,Mistral-NeMo-12B-Instruct,https://huggingface.co/nvidia/Mistral-NeMo-12B-Instruct,LLM,12.0,Chat / coding,8–10,8.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,128K ctx.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Mistral-Instruct (alpaca-like),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
28,AI21-Jamba-Mini-1.7,https://huggingface.co/ai21labs/AI21-Jamba-Mini-1.7,LLM (MoE),1.7,Chat / tools,2–3,2.0,2–<4 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",MoE: active params << total; VRAM driven by active experts; good throughput on GPU.,Jamba Mini.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Generic (refer model card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
29,MAmmoTH2-8x7B,https://huggingface.co/TIGER-Lab/MAmmoTH2-8x7B,LLM (MoE),45.0,Reasoning / RAG,24–28,24.0,24–<32 GB,Yes (Transformer decoder; vLLM/HF),Recommended (tensor parallel via HF Accelerate / vLLM / Deepspeed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",MoE: active params << total; VRAM driven by active experts; good throughput on GPU.,MoE 8×7B.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Generic (refer model card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
30,openchat-3.5-1210,https://huggingface.co/openchat/openchat-3.5-1210,LLM (fine-tune),7.0,Helpful chat,5–6,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Community SFT/DPO.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Mistral-Instruct (alpaca-like),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
31,Nous-Hermes-2-Mistral-7B-DPO,https://huggingface.co/NousResearch/Nous-Hermes-2-Mistral-7B-DPO,LLM (fine-tune),7.0,Assistant chat,5–6,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Popular Mistral SFT.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Mistral-Instruct (alpaca-like),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
32,OpenHermes-2.5-Mistral-7B,https://huggingface.co/teknium/OpenHermes-2.5-Mistral-7B,LLM (fine-tune),7.0,Assistant chat,5–6,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Community favorite.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Mistral-Instruct (alpaca-like),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
33,replit-code-v1_5-3b,https://huggingface.co/replit/replit-code-v1_5-3b,Code LLM,3.0,Coding,3–4,3.0,2–<4 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Replit small code.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Code-style prompts; tool/codemodel format,Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
34,stable-code-3b,https://huggingface.co/Stability-AI/stable-code-3b,Code LLM,3.0,Coding,3–4,3.0,2–<4 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,StableCode 3B.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Generic (refer model card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
35,Qwen2.5-72B-Instruct,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,LLM,72.0,Advanced chat,38–45,38.0,32–<64 GB,Yes (Transformer decoder; vLLM/HF),Recommended (tensor parallel via HF Accelerate / vLLM / Deepspeed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",Large: prefer multi-GPU or server-class VRAM; enable paged attention & flash-attn if supported.,Multi-GPU recommended.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,ChatML (Qwen),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
36,granite-3.3-8b-instruct,https://huggingface.co/ibm-granite/granite-3.3-8b-instruct,LLM,8.0,Chat,6–7,6.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,IBM Granite 8B.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Generic (refer model card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
37,granite-20b-code-instruct-8k,https://huggingface.co/ibm-granite/granite-20b-code-instruct-8k,Code LLM,20.0,Coding,12–14,12.0,12–<16 GB,Yes (Transformer decoder; vLLM/HF),Optional (model parallel if needed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Granite Code 20B.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Generic (refer model card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
38,Phi-3-medium-128k-instruct,https://huggingface.co/microsoft/Phi-3-medium-128k-instruct,LLM,14.0,Chat / reasoning,10–12,10.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Long-context.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Phi-style chat (see card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
39,Phi-3.5-vision-instruct,https://huggingface.co/microsoft/Phi-3.5-vision-instruct,VLM,,Vision + text,6–9,6.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp VLM variants), AWQ/GPTQ/bnb-4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Params N/A; compact VLM.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text + Image,JPEG/PNG; others per repo (WEBP/GIF/TIFF may vary),Phi-style chat (see card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Resize/normalize images per repo; watch max image pixels / sequence length,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
40,MiniCPM-V-2_6,https://huggingface.co/openbmb/MiniCPM-V-2_6,VLM,8.0,Vision QA / OCR,7–9,7.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp VLM variants), AWQ/GPTQ/bnb-4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",Tiny model: great for edge; consider int4 + CPU fallback if VRAM tight.,Lightweight VLM.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text + Image,JPEG/PNG; others per repo (WEBP/GIF/TIFF may vary),Generic (refer model card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Resize/normalize images per repo; watch max image pixels / sequence length,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
41,Qwen2.5-Coder-32B-Instruct,https://huggingface.co/Qwen/Qwen2.5-Coder-32B-Instruct,Code LLM,32.0,Advanced coding,18–22,18.0,18–<24 GB,Yes (Transformer decoder; vLLM/HF),Optional (model parallel if needed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Duplicate of #21.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,ChatML (Qwen),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
42,codegemma-7b-it,https://huggingface.co/google/codegemma-7b-it,Code LLM,7.0,Coding,5–6,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Duplicate of #22.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Generic (refer model card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
43,starcoder2-3b,https://huggingface.co/bigcode/starcoder2-3b,Code LLM,3.0,Coding,3–4,3.0,2–<4 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Duplicate of #23.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Code-style prompts; tool/codemodel format,Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
44,Codestral-22B-v0.1,https://huggingface.co/mistralai/Codestral-22B-v0.1,Code LLM,22.0,Coding / reasoning,14–16,14.0,12–<16 GB,Yes (Transformer decoder; vLLM/HF),Optional (model parallel if needed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Duplicate of #24.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Code-style prompts; tool/codemodel format,Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
45,glm-4-9b-chat-hf,https://huggingface.co/zai-org/glm-4-9b-chat-hf,LLM,9.0,Chat,6–8,6.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Duplicate of #25.,Varies by checkpoint (see URL),User-config / sampling dependent,Hardware + quant + batch dependent; measure on target GPU,Text-only,N/A,Generic (refer model card),Refer model card (SentencePiece/BPE/Tokenizer JSON),HF Transformers; vLLM where supported; llama.cpp/GGUF if available; Ollama for popular checkpoints,GGUF; AWQ/GPTQ/bitsandbytes 4/8 when available,1–4 (consumer GPUs); increase on larger VRAM,Use FlashAttention/paged KV cache if supported; reduce max_new_tokens for lower latency,Increase batch on bigger VRAM; prefer tensor-parallel for >24 GB models,Ensure right chat template; avoid excessive system prompts,"Check license + weights access (e.g., Llama family gated)","For determinism: temperature 0.0–0.2, top_p=1.0; set seeds; disable sampling for exact reproducibility"
