id,model_name,url,type,params_billion,typical_use,est_vram_4bit_gb,approx_vram_gb,vram_tier,kv_cache_support,sharding,quant_formats,determinism_tip,good_to_know,notes
57,Qwen2.5-72B-Instruct,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,LLM,72.0,Advanced chat,38–45,38.0,32–<64 GB,Yes (Transformer decoder; vLLM/HF),Recommended (tensor parallel via HF Accelerate / vLLM / Deepspeed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",Large: prefer multi-GPU or server-class VRAM; enable paged attention & flash-attn if supported.,Duplicate of #35.
58,granite-3.3-8b-instruct,https://huggingface.co/ibm-granite/granite-3.3-8b-instruct,LLM,8.0,Chat,6–7,6.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Duplicate of #36.
59,granite-20b-code-instruct-8k,https://huggingface.co/ibm-granite/granite-20b-code-instruct-8k,Code LLM,20.0,Coding,12–14,12.0,12–<16 GB,Yes (Transformer decoder; vLLM/HF),Optional (model parallel if needed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Duplicate of #37.
60,Phi-3-medium-128k-instruct,https://huggingface.co/microsoft/Phi-3-medium-128k-instruct,LLM,14.0,Chat / reasoning,10–12,10.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Duplicate of #38.
61,llava-next (docs),https://huggingface.co/docs/transformers/en/model_doc/llava_next,VLM,,Vision-language family,6–12,6.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp VLM variants), AWQ/GPTQ/bnb-4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",VLM: VRAM scales with image resolution & #images; enable image preproc and smaller vision tower if offered.,Family docs; pick 7B variants to run.
62,llava-onevision-qwen2-7b-ov,https://huggingface.co/lmms-lab/llava-onevision-qwen2-7b-ov,VLM,7.0,OneVision VLM,6–8,6.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp VLM variants), AWQ/GPTQ/bnb-4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",VLM: VRAM scales with image resolution & #images; enable image preproc and smaller vision tower if offered.,Qwen2-7B base.
63,moondream2,https://huggingface.co/vikhyatk/moondream2,VLM (tiny),1.8,Mobile-scale VQA,2–3,2.0,2–<4 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp VLM variants), AWQ/GPTQ/bnb-4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Very small VLM.
64,Florence-2-large,https://huggingface.co/microsoft/Florence-2-large,Vision encoder,,OCR/grounding,>10,10.0,8–<12 GB,N/A (encoder),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",VLM: VRAM scales with image resolution & #images; enable image preproc and smaller vision tower if offered.,Often used with LLM head.
65,DocOwl1.5,https://huggingface.co/mPLUG/DocOwl1.5,VLM,,Doc understanding,6–10,6.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp VLM variants), AWQ/GPTQ/bnb-4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,PDF/table focus.
66,VILA-13b,https://huggingface.co/Efficient-Large-Model/VILA-13b,VLM,13.0,Vision-language,10–12,10.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp VLM variants), AWQ/GPTQ/bnb-4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,13B VLM.
67,llava-v1.6-34b-hf,https://huggingface.co/llava-hf/llava-v1.6-34b-hf,VLM,34.0,High-end VLM,18–22,18.0,18–<24 GB,Yes (Transformer decoder; vLLM/HF),Optional (model parallel if needed),"GGUF (llama.cpp VLM variants), AWQ/GPTQ/bnb-4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",VLM: VRAM scales with image resolution & #images; enable image preproc and smaller vision tower if offered.,Large 34B.
68,Qwen2-VL-2B-Instruct,https://huggingface.co/Qwen/Qwen2-VL-2B-Instruct,VLM,2.0,Lightweight VLM,2–3,2.0,2–<4 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp VLM variants), AWQ/GPTQ/bnb-4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",VLM: VRAM scales with image resolution & #images; enable image preproc and smaller vision tower if offered.,Small vision model.
69,InternVL2-26B,https://huggingface.co/OpenGVLab/InternVL2-26B,VLM,26.0,Doc/chart QA,14–18,14.0,12–<16 GB,Yes (Transformer decoder; vLLM/HF),Optional (model parallel if needed),"GGUF (llama.cpp VLM variants), AWQ/GPTQ/bnb-4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",VLM: VRAM scales with image resolution & #images; enable image preproc and smaller vision tower if offered.,Larger InternVL2.
70,Yi-VL-6B,https://huggingface.co/01-ai/Yi-VL-6B,VLM,6.0,Vision-chat,5–7,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp VLM variants), AWQ/GPTQ/bnb-4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",VLM: VRAM scales with image resolution & #images; enable image preproc and smaller vision tower if offered.,Yi VLM 6B.
71,OLMo-2-1124-7B-Instruct,https://huggingface.co/allenai/OLMo-2-1124-7B-Instruct,LLM,7.0,General chat,5–6,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,AllenAI OLMo-2.
72,dbrx-instruct,https://huggingface.co/databricks/dbrx-instruct,LLM (MoE),,Advanced chat,>30,30.0,24–<32 GB,Yes (Transformer decoder; vLLM/HF),Recommended (tensor parallel via HF Accelerate / vLLM / Deepspeed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",MoE: active params << total; VRAM driven by active experts; good throughput on GPU.,Very large MoE (multi-GPU).
73,mpt-7b-instruct,https://huggingface.co/mosaicml/mpt-7b-instruct,LLM,7.0,Chat,5–6,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,MPT 7B.
74,falcon-7b-instruct,https://huggingface.co/tiiuae/falcon-7b-instruct,LLM,7.0,Chat,5–6,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Falcon 7B.
75,falcon-180B,https://huggingface.co/tiiuae/falcon-180B,LLM,180.0,Advanced chat,>90,90.0,64–<128 GB,Yes (Transformer decoder; vLLM/HF),Recommended (tensor parallel via HF Accelerate / vLLM / Deepspeed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",Large: prefer multi-GPU or server-class VRAM; enable paged attention & flash-attn if supported.,Extremely large; multi-GPU.
76,bloom-7b1,https://huggingface.co/bigscience/bloom-7b1,LLM,7.1,Chat,5–6,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,BLOOM 7B1.
77,RedPajama-INCITE-7B-Instruct,https://huggingface.co/togethercomputer/RedPajama-INCITE-7B-Instruct,LLM,7.0,Chat,5–6,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,RP-INCITE 7B.
78,chatglm3-6b,https://huggingface.co/THUDM/chatglm3-6b,LLM,6.0,Chat,4–5,4.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,GLM 6B.
79,rwkv-6-world,https://huggingface.co/BlinkDL/rwkv-6-world,RWKV,,RWKV experiments,4–10,4.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,GGUF (rwkv); bnb 4/8,"For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Varies by checkpoint.
80,Phi-3-mini-4k-instruct,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct,SLM,3.8,Lightweight chat,3–4,3.0,2–<4 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",Tiny model: great for edge; consider int4 + CPU fallback if VRAM tight.,Phi-3 Mini 3.8B.
81,Yi-1.5-72B-Chat,https://huggingface.co/01-ai/Yi-1.5-72B-Chat,LLM,72.0,Advanced chat,38–45,38.0,32–<64 GB,Yes (Transformer decoder; vLLM/HF),Recommended (tensor parallel via HF Accelerate / vLLM / Deepspeed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",Large: prefer multi-GPU or server-class VRAM; enable paged attention & flash-attn if supported.,Large; multi-GPU ideal.
82,Yi-1.5-6B-Chat,https://huggingface.co/01-ai/Yi-1.5-6B-Chat,LLM,6.0,Chat,4–5,4.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Yi 6B.
83,Baichuan2-13B-Chat,https://huggingface.co/baichuan-inc/Baichuan2-13B-Chat,LLM,13.0,Chat,9–11,9.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Baichuan 13B.
84,Baichuan2-7B-Chat,https://huggingface.co/baichuan-inc/Baichuan2-7B-Chat,LLM,7.0,Chat,5–6,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Baichuan 7B.
85,internlm2-chat-7b,https://huggingface.co/internlm/internlm2-chat-7b,LLM,7.0,Chat,5–6,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,InternLM2 7B.
86,internlm2-chat-20b,https://huggingface.co/internlm/internlm2-chat-20b,LLM,20.0,Chat,12–14,12.0,12–<16 GB,Yes (Transformer decoder; vLLM/HF),Optional (model parallel if needed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,InternLM2 20B.
87,XVERSE-13B,https://huggingface.co/xverse/XVERSE-13B,LLM,13.0,Chat,9–11,9.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,XVERSE 13B.
88,xglm-7.5B,https://huggingface.co/facebook/xglm-7.5B,LLM,7.5,Multilingual,5–6,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,XGLM 7.5B.
89,pythia-12b,https://huggingface.co/EleutherAI/pythia-12b,LLM,12.0,Pretraining / experiments,8–10,8.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,EleutherAI Pythia.
90,mpt-30b-instruct,https://huggingface.co/mosaicml/mpt-30b-instruct,LLM,30.0,Advanced chat,16–20,16.0,16–<18 GB,Yes (Transformer decoder; vLLM/HF),Optional (model parallel if needed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",Large: prefer multi-GPU or server-class VRAM; enable paged attention & flash-attn if supported.,Large 30B.
91,mpt-30b-chat,https://huggingface.co/mosaicml/mpt-30b-chat,LLM,30.0,Chat,16–20,16.0,16–<18 GB,Yes (Transformer decoder; vLLM/HF),Optional (model parallel if needed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",Large: prefer multi-GPU or server-class VRAM; enable paged attention & flash-attn if supported.,Large 30B.
92,Nous-Hermes-2-Mixtral-8x7B-SFT,https://huggingface.co/NousResearch/Nous-Hermes-2-Mixtral-8x7B-SFT,LLM (MoE),45.0,Assistant chat,24–28,24.0,24–<32 GB,Yes (Transformer decoder; vLLM/HF),Recommended (tensor parallel via HF Accelerate / vLLM / Deepspeed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",MoE: active params << total; VRAM driven by active experts; good throughput on GPU.,Mixtral SFT.
93,WizardCoder-Python-34B-V1.0,https://huggingface.co/WizardLM/WizardCoder-Python-34B-V1.0,Code LLM,34.0,Python coding,18–22,18.0,18–<24 GB,Yes (Transformer decoder; vLLM/HF),Optional (model parallel if needed),"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",Large: prefer multi-GPU or server-class VRAM; enable paged attention & flash-attn if supported.,Large 34B code.
94,Replit-Code-v2-13B,https://huggingface.co/replit/Replit-Code-v2-13B,Code LLM,13.0,Coding,9–11,9.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Replit 13B code.
95,WizardMath-13B-V1.1,https://huggingface.co/WizardLM/WizardMath-13B-V1.1,Math LLM,13.0,Math reasoning,9–11,9.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Math-tuned 13B.
96,dolphin-mistral (Ollama),https://ollama.com/library/dolphin-mistral,LLM (fine-tune),7.0,Helpful chat,5–6,5.0,4–<8 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Mistral 7B finetune.
97,Orca-2-13b,https://huggingface.co/microsoft/Orca-2-13b,LLM,13.0,Reasoning/chat,9–11,9.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Microsoft Orca-2 13B.
98,phi-2,https://huggingface.co/microsoft/phi-2,SLM,2.7,Lightweight chat,2–3,2.0,2–<4 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Phi-2 2.7B.
99,Llama-2-13b-chat-hf,https://huggingface.co/meta-llama/Llama-2-13b-chat-hf,LLM,13.0,Chat,9–11,9.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Llama 2 13B chat.
100,vicuna-13b-v1.5,https://huggingface.co/lmsys/vicuna-13b-v1.5,LLM (fine-tune),13.0,Assistant chat,9–11,9.0,8–<12 GB,Yes (Transformer decoder; vLLM/HF),Not needed for single-GPU,"GGUF (llama.cpp), AWQ, GPTQ, bitsandbytes 4/8 where available","For repeatability: temperature 0.0–0.2, top_p=1.0, fix random seed; use greedy/beam for most deterministic outputs.",General: use 4-bit quant + paged KV cache; keep batch small on consumer GPUs.,Vicuna 13B on LLaMA.
